supplr_name;supplr_receptionNumber;supplr_formID;supplr_agreementNumber;supplr_qualityCertificationNumber;supplr_specificInstructions;supplr_siret ;supplr_website;supplr_activity;supplr_VATNumber ;supplr_endLinkToFolder;Number of address;Number of contact;supplr_real;supplr_critical
VESTA THERMOPLASTICS;+33 (0)6 40 54 85 65 ;S001;/;/;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\VESTA THERMOPLASTIC-S001;1;1;yes;no
WINNOMED;+886-921 169262;S012;/;ISO 13485:2016 Exp: 2022-02-14;/;/;https://winnomed.com/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\WINNOMED-S012;2;2;yes;no
CRESILAS;+33 (0)3 81 31 64 80 ;S013;/;/;/;39242079000017;https://cresilas.fr/;Fabrication d\'autres outillages (2573B);FR57392420790;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\CRESILAS-S013;1;1;yes;no
CALLYANCE;+33 (0)6 73 19 18 47;S014;/;/;/;82375514500039;https://www.callyance.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR36823755145;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\CALLYANCE-S014;1;1;yes;no
VITAPRINT;+33 (0)1 74 18 02 58 ;S015;/;/;/;48796897600034;https://www.vistaprint.fr/mlp/cartes-de-visite-personnalisees?PCXTVATINCLUSIVE=false&utm_id=2B10421038376095427862&coupon=&partner=bing&utm_medium=cpc&utm_campaign=BING_FR_FR_BC_Business+Cards_Vistaprint&utm_term=impression+carte+de+visite+vista&ps_vtp=90658205%7C632447902%7C%7Ckwd-33614852984%3Aloc-66%7Cc%7C126786%7C%7Co&ps_vtp2=b%7Cimpression+carte+de+visite+vista%7Cbe%7Ce%7C75316609540894%7C33614852984%7C%7C%7C%7CImpression+de+cartes+de+visite+personnalis%C3%A9es+%7C+VistaPrint&msclkid=8ca5f2955dbd18f8379b96ed380b58ea&utm_source=bing&utm_content=PBC_Vistaprint_Exact;Commerce de gros (commerce interentreprises) d\'ordinateurs, d\'équipements informatiques périphériques et de logiciels (4651Z);FR12487968976;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\VITAPRINT-S015;1;1;yes;no
OTELO;+33 (0)1 34 30 39 10;S016;/;/;/;34412647900056;https://www.otelo.fr/;Commerce de gros (commerce interentreprises) de matériel électrique (4669A);FR10344126479;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\OTELO-S016;1;1;yes;no
TOUTOY & BERTHOLON;+33 (0)3 81 59 98 31;S017;/;/;/;57282128800022;https://touty.fr/;Commerce de gros (commerce interentreprises) d\'autres biens domestiques (4649Z);FR42572821288;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\TOUTOY & BERTHOLON-S017;1;1;yes;no
FILINOX;+33 (0)4 50 33 70 71;S018;/;/;/;/;https://www.filinox.com/fr/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FILINOX-S018;1;1;yes;no
AMAZON; /;S019;/;ISO 9001:2015 Exp:2025-11-30;/;79093332900027;https://www.amazon.fr/?tag=hydfrabkm-21&ref=pd_sl_8g6ple7luo_e&adgrpid=1364494866923231&hvadid=85281187835326&hvnetw=o&hvqmt=e&hvbmt=be&hvdev=c&hvlocint=&hvlocphy=126786&hvtargid=kwd-85281456296437:loc-66&hydadcr=11801_1930446;Régie publicitaire de médias (7312Z);FR64790933329;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\AMAZON -S019;1;1;yes;no
ETS Michel VUICHARD;+33 (0)4 50 04 31 19;S020;/;/;/;32301722800012;https://vuichard.com/news-vuichard-sas-micromachining/;Mécanique industrielle (2562B);FR65323017228;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ETS MICHEL VUICHARD-S020;1;1;yes;no
HPC MEDICAL PRODUCT;+864.708.3025 (ext. 325) ;S021;/;ISO 13485:2016 Exp: 2025-09-15;/;82758053100024;/;Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z);FR27827580531;/;1;1;yes;no
SURPLEX;+49 0211422737-874;S022;/;ISO 9001 : 2015 Exp 2023 -11-02;/;81245067400013;https://www.surplex.com/fr/;Autres activités de soutien aux entreprises n.c.a. (8299Z);FR54812450674;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SURPLEX-S022;1;1;yes;no
ABC LA CHINE;+33 (0)6 12 79 00 43;S024;/;/;/;/;/;/;/;/;1;1;yes;no
HENRIOT; +33 (0)3 81 67 67 03 ;S025;/;/;/;31417155400046;https://www.champagne-henriot.com/en/age-gate/;Fabrication de vins effervescents (1102A);FR12314171554;/;1;2;yes;no
ROSE PLASTIC;+33 (0)4 79 38 48 12 ;S026;/;ISO 14001:2015 Exp: 2026-02-27;/;43410707400016;https://www.rose-plastic.fr/fr/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR10434107074;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ROSE PLASTIC-S026;1;3;yes;no
ALI EXPRESS;/;S027;/;/;/;89401996700013;https://FR.AliExpress.com;Autres activités de poste et de courrier (5320Z);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ALI -S027;1;1;yes;no
NICOMATIC;+33 (0)6 76 49 84 00;S028;/;"EN 9100:2018 Exp: 2023-09-08
ISO 9001:2015 Exp: 2023-09-08";/;30692668400037;https://www.nicomatic.com/fr;Fabrication de composants électroniques (2611Z);FR95306926684;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\NICOMATIC-S028;1;1;yes;no
LEROY MERLIN; /;S029;/;/;/;38456094200045;https://www.leroymerlin.fr/produits/cuisine/cuisine-equipee-delinia-id/cuisine-equipee-delinia-id-sydney/porte-de-cuisine-delinia-id-sydney/bandeau-sydney-angora-brillant-h-16-5-x-l-44-7-cm-80018120.html?at_medium=Sea-Paid&at_campaign=AM-05-CUISINE-TXT-11-CUISINEDELINIA-BING&at_source=bing&at_market=M1&at_section=R5C&at_campaign_id=530118760&at_campaign_type=TXT&at_account=LeroyMerlin-MarcheAmenagement&at_account_id=F1491VZS&at_adgroup_name=DSA-20-FACADESCUISINEDELINIAID&at_adgroup_type=DSA&gclid=3b510ed211b918baa6276aaa76056129&gclsrc=3p.ds&msclkid=3b510ed211b918baa6276aaa76056129;Commerce de détail de quincaillerie, peintures et verres en grandes surfaces (400 m² et plus) (4752B);FR49384560942;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\LEROY MERLIN-S029;1;1;yes;no
SPECIALITY COATING SYSTEMS;86-184-1104-6931;S030;QA Agreement 23 Oct 2020;/;/;50515634900019;https://scscoatings.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SPECIALITY COATING SYSTEMS-S030;1;2;yes;no
NATIXIS;+33 (0)5 61 61 17 93;S031 ;/;/;/;54204452401063;https://www.interepargne.natixis.com/;Autre distribution de crédit (6492Z);FR73542044524;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\NATIXIS-S031;1;1;yes;no
STS INDUSTRIE;+33 (0)3 81 58 62 82;S032;/;ISO 9001:2015 Exp: 2025-05-28;/;91355835900018;https://www.sts-industrie.com/;Mécanique industrielle (2562B);FR35913558359;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\STAINLESS-S045;1;2;yes;no
MME ET MR DELFORGE;+33 (0)6 64 93 04 29;S033;/;/;/;/;/;/;/;/;1;1;yes;no
MIDI CAOUTCHOUC ;+33 (0)5 61 41 49 90;S034;/;ISO 9001:2015 Exp: 2021-06-15;/;50444358100039;https://www.groupe-efire.com;Fabrication d\'autres articles en caoutchouc (2219Z);FR96504443581;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MIDI CAOUTCHOUC-S034;1;1;yes;no
MON DROGUISTE;+33 (0)3 25 41  04 05;S035;/;ISO1687 Exp: 2024-09-29;/;40030344200042;https://www.Mon-Droguiste.com;Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²) (4752A);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MON DROGUISTE-S035;1;1;yes;no
B.MESURE;+33 (0)4 75 57 25 96;S036;/;/;/;84459955500027;https://www.bmesure.fr;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);FR82844599555;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\B.MESURE-S036;1;1;yes;no
FEDEX;+33 (0)3 20 28 67 63;S037;/;/;/;97350535700275;https://www.fedex.com/fr-fr/home.html;Messagerie, fret express (5229A);FR22973505357;/;1;1;yes;no
MICROLUMEN;813-886-1200;S038;/;ISO13485:2016 Exp: 2023-11-06;/;/;www.microlumen.com;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MICROLUMEN-S038;1;1;yes;no
COOPER;+33 (0)1  64 87 20 00;S039;/;ISO 9001:2008 Exp:2017-10-06 ;/;48933290800065;https://www.cooper.fr/;Fabrication d\'autres articles en caoutchouc (2219Z);FR57489332908;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\COOPER-S039;1;1;yes;no
MAZARS;+33 (0)3 81  53 28 55 ;S040;/;/;/;78482415300232;https://www.mazars.fr/;Activités comptables (6920Z);FR07784824153;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MAZARS-S040;1;1;yes;no
MOTEDIS;+33 (0)4 78 59 63;S041;/;/;/;44978596300017;https://www.motedis.com/fr;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR19449785963;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MOTEDIS-S041;1;1;yes;no
FRANCOISE DELFORGE; /;S042;/;/;/;/;/;/;/;/;1;1;yes;no
DECOLLETAGE DE LA GARENNE;+33 (0)3 81  62 20 10;S043;/;"ISO 13485:2016 Exp: 2024-08-20
ISO 9001:2015 Exp: 2024-08-20";/;73282123600013;https://www.ddlg-decolletage.com;Décolletage (2562A);FR42732821236;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\DDLG-S043;1;1;yes;no
FORECREU;+33 (0)4 70 09 13 66;S044;/;"ISO 13485:2016 Exp: 2021-09-13
ISO 9001:2015 Exp: 2021-09-13";/;70980567500028;https://www.forecreu.com/fr/;étirage à froid de barres (2431Z);FR93709805675;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FORECREU S.A.S-S044;1;2;yes;no
STAINLESS;+33 (0)6 32 56 66 99;S045;/;"EN 9120:2016 Exp: 2021-06-06
ISO 9001:2015 Exp: 2021-06-06
ISO 13485:2016 Exp: 2021-06-06
ISO 14001:2015 Exp: 2021-04-29";/;43443598800028;https://www.stainless.eu/;Commerce de gros (commerce interentreprises) de minerais et métaux (4672Z);FR68434435988;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\STAINLESS-S045;1;1;yes;no
3D FI;+33 (0)4 76 05 45 65;S046;/;/;/;48917018300011;/;Décolletage (2562A);FR83489170183;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\3D FI-S046;1;1;yes;no
HP STORE;+33 (0)4 81 68 05 63 ;S047;/;/;/;/;https://www.hp.com/fr-fr/shop/?utm_content=tag_premium&gclid=ad14b531f90212d423b6d14995d4fc10&gclsrc=3p.ds&msclkid=ad14b531f90212d423b6d14995d4fc10;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\HP-S047;1;1;yes;no
SETAM;+33 (0)7 86 65 53 48;S048;/;/;/;89986639600018;https://www.setam.com/;Commerce de gros (commerce interentreprises) de meubles, de tapis et d\'appareils d\'éclairage (4647Z);FR57899866396;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SARL BG ETANCHEITE -S080;1;1;yes;no
GROUPE1000;+33 (0)6 42 05 23 56;S049;/;/;/;33460824700030;https://groupe1000.jimdofree.com/;Construction d\'autres bâtiments (4120B);FR77334608247;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\GROUPE 1000-S049;1;1;yes;no
M.B.A. SARL;+33 (0)9 82 56 36 33;S050;/;/;/;34932466500018;/;Travaux de menuiserie bois et pvc (4332A);FR72349324665;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\M.B.A. SARL-S050;1;1;yes;no
VENFROID;+33 (0)3 84 87 23 23;S051;/;Capaticté N°380 Exp: 2024-05-23;/;30609372500019;https://www.venfroid.com/;Installation de machines et équipements mécaniques (3320B);FR35306093725;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\VENFROID-S051;1;1;yes;no
INDAIR;86-512-6690-661;S052;/;/;/;/;https://www.szindair.com/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\INDAIR-S052;1;1;yes;no
FRANCHE COMTE ISOLATION (FCI);+33 (0)3 81 47 15 00;S053;/;/;/;30085419700047;http://www.franchecomteisolation.com/;Travaux d\'isolation (4329A);FR10300854197;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FRANCHE COMTE ISOLATION-S053;1;1;yes;no
GUANGZHOU;+86-20-8455 2831;S054;/;/;/;88530977300012;/;Vente à distance sur catalogue général (4791A);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\KLC CLEANTECH CO-S054;1;1;yes;no
ELECTRO FRANCE INTERNET;+33 (0)9 77 21 75 50;S056;/;/;/;80158729600014;https://www.electrofrance-internet.fr/fr/;Commerce de gros (commerce interentreprises) de matériel électrique (4669A);FR77801587296;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ELECTRO FRANCE INTERNET-S056;1;1;yes;no
COLAS AGENCE DOUBS;+33 (0)3 81 48 15 15;S057;/;/;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\COLAS-S057;1;1;yes;no
ALU STOCK;+34 672 61 80 41 ;S058;/;ISO 9001:2015 Exp:2022-03-05;/;45265280300027;https://www.alu-stock.es/fr/;Commerce de gros (commerce interentreprises) de machines pour l\'extraction, la construction et le génie civil (4663Z);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ALU-STOCK-S058;1;1;yes;no
SEALOGIS FREIGHT FORWARD;+33 (0)2 32 79 63 55 ;S059;/;/;/;7585011500058;https://www.sealogisfreightforwarding.com/;Affrètement et organisation des transports (5229B);FR94075850115;/;1;1;yes;no
NOVETAL;+33 (0)4 94 86 47 09;S060;/;ISO 9001:2015 Exp: 2023-06-21;/;53978027000044;https://www.novetal.com/;Commerce de gros (commerce interentreprises) de machines-outils (4662Z);FR27539780270;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\NOVETAL -S060;1;1;yes;no
PHISIOHM EURL;+33(0)6 27 33 57 01;S061;/;/;/;82327676100017;/;Travaux d\'installation électrique dans tous locaux (4321A)Installation électrique (4321AB);FR96823276761;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\PHISIOHM S061;1;1;yes;no
SEA ROAD LOGISTIC SARL;+33 (0)2 40 40 20 80 ;S062 ;/;/;/;43754345700034;/;Affrètement et organisation des transports (5229B);FR96437543457;/;1;1;yes;no
GREELOY;86-186-2186-9885;S063;/;ISO 13485:2016 Exp: 2023-07-16;/;/;http://www.greeloymed.com/en/index.html;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\GREELOY MEDICAL INSTRUMENT-S063;1;1;yes;no
NOEL FURNITURE MANUFACTURY; /;S064;/;/;/;30476473100028;https://www.noel-space.com/;Travaux de peinture et vitrerie (4334Z);FR44304764731;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\NOEL FURNITURE MANUFACTURY-S064;1;1;yes;no
TFS ;+33 (0)6 73 54 26 26;S065;/;/;/;47779853200040;/;Affrètement et organisation des transports (5229B);FR30477798532;/;1;1;yes;no
FRANCE ETUVES ;+33 (0)1 64 21 42 15;S066;/;/;/;43162217400016;https://www.france-etuves.com/FR/;Fabrication de fours et brûleurs (2821Z);FR51431622174;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FRANCE ETUVES-S066;1;1;yes;no
MOGRA;+33 (0)3 84 76 11 54;S067;/;/;/;35090581600046;https://www.mogra.fr/en/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR31350905816;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MOGRA-S067;1;2;yes;no
SHENZHEN FLYING;86-185-6578-5494;S068 ;/;/;/;/;/;/;/;/;1;1;yes;no
COMETE INFORMATIQUE;+33 (0)6 21 12 01 90;S069;/;/;/;42351774700030;/;Conseil en systèmes et logiciels informatiques (6202A);FR14423517747;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\COMETE INFORMATIQUE-S019;1;1;yes;no
ROBE MEDICAL;+33 (0)9 51 32 66 71;S070;/;ISO 13485 : 2003 ;/;77571781200033;/;Vente à distance sur catalogue spécialisé (4791B);FR64775717812;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ROBE MEDICAL-S070;1;1;yes;no
VWR;+33 (0)8 25 02 30 30;S071;/;ISO 17025:2017 Exp: 2023-06-01;/;42128785500231;https://fr.vwr.com/store/;Commerce de gros (commerce interentreprises) de produits chimiques (4675Z);FR40421287855;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\VWR INTERNATIONAL-S071;1;1;yes;no
MGB;+33 (0)4 50 98 35 70;S072;QA Agreement 03 Sep 2021;"EN 9100:2016 Exp: 2024-06-01
ISO 9001:2015 Exp: 2024-06-01
ISO 13485:2016 Exp: 2021-09-05
ISO 14001:2015 Exp: 2024-06-02";/;60562064000017;/;Décolletage (2562A);FR37605620640;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MGB (AGS)-S072;2;2;yes;no
ETS LEGAIN;+33 (0)3 81 59 08 87;S073;/;/;/;82985421500011;/;Commerce de gros (commerce interentreprises) de matériel agricole (4661Z);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ETS LEGAIN-S073;1;1;yes;no
ETS LONG SAS ;+33 (0)6 07 41 17 90 ;S074;/;/;/;78008490100039;/;Mécanique industrielle (2562B);FR26780084901;/;1;1;yes;no
SUPRATEC SYNEO;+33 (0)6 14 09 66 41;S075;/;ISO 9001:2015 Exp: 2024-05-08;/;49932837500021;https://www.supratec-syneo.com/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR72499328375;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SUPRATEC SYNEO-S075;1;1;yes;no
SAFITECH;+33 (0)3 81 88 52 66;S076;/;/;/;31371154100067;/;Mécanique industrielle (2562B);FR89313711541;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SAFITECH-S076;1;1;yes;no
MENEUR AMENAGEMENT;+33 (0)6 72 69 30 39 ;S077;/;/;/;85263316300021;/;Travaux de menuiserie bois et pvc (4332A);FR92852633163;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\MENEUR -S077;1;1;yes;no
RS; /;S078;/;/;/;33453403900030;https://fr.rs-online.com/web/;Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR68334534039;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\RS COMPONENTS -S078;1;1;yes;no
E.I.S.;+49 (0)711 460 59 21 40;S079;/;/;/;39033744200011;euro-industry.com;Gestion de portefeuilles (671C);FR14390337442;/;1;1;yes;no
SARL BG ETANCHEITE ;+33 (0)6 42 82 49 66;S080;/;/;/;43277253100039;https://www.etancheite-francheetanche.fr/?at_medium=sl&at_campaign=booster_bing_ads&msclkid=115dfb3a96fb19c98f2f9f42f92f446b;Travaux d\'étanchéification (4399A);FR56432772531;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\SARL BG ETANCHEITE -S080;1;1;yes;no
LABODERM; /;S081;/;/;/;41177986100037;https://www.laboderm.fr/;Commerce de gros (commerce interentreprises) de produits pharmaceutiques (4646Z);FR72411779861;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\LABODERM -S081;1;1;yes;no
ADS LAMINAIRE;+33 (0)1 48 17 85 25;S082;/;/;/;69204043900030;adslaminaire.com;Fabrication d\'équipements aérauliques et frigorifiques industriels (2825Z);FR65692040439;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ADS LAMINAIRE -S082;1;1;yes;no
LUSTRAL;+33 (0)3 81 26 36 11;S083;MED210831-4511 31 Aug 2021;/;/;30967441400177;https://www.lustral.fr/;Nettoyage courant des bâtiments (8121Z);FR31309674414;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\LUSTRAL-S083;1;1;yes;no
SP3; /;S084;/;/;/;82876721000010;/;Conseil pour les affaires et autres conseils de gestion (7022Z);FR67828767210;/;1;1;yes;no
GIMA;0039 02 953854.225;S085;/;Iso 9001 : 2015 Exp: 2021-10-14;/;/;https://www.gimaitaly.com/contatti.asp;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\GIMA -S085;1;1;yes;no
POLY DISPENSING SYSTEMS;+33 (0)1 39 62 40 92;S086;/;/;/;51762752700032;https://polydispensing.com/;Intermédiaires du commerce en machines, équipements industriels, navires et avions (4614Z);FR87517627527;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\POLY DISPENSING SYSTEMS -S086;1;1;yes;no
EUROMEDIS;+33 (0)3 44 73 83 60 ;S087;/;ISO 13485:2016 Exp: 2024-27-05;/;40753551700020;laboratoires-euromedis.com;Activités des sociétés holding (6420Z);FR36407535517;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\EUROMEDIS -S087;1;1;yes;no
ESPRIT;+33 (0) 254828724;S088;/;/;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\ESPRIT -S088;1;1;yes;no
SOLUSCAN;+33 (0)4 74 80 58 14;S089;/;/;/;/;https://soluscan.fr/;/;/;/;1;1;yes;no
SAS OUDOT;+33 (0)3 81 86 69 43;S090;/;/;/;38104024500023;Bienvenue sur le site internet de OUDOT, Tôlerie, Chaudronnerie et Découpe laser (sasoudot.fr);Fabrication de structures métalliques et de parties de structures (2511Z);FR94381040245;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\OUDOT -S090;1;1;yes;no
EPOXY TECHNOLOGY EUROPE;+33 (0)1 39 13 20 82;S091;/;/;/;80500044500017;Accueil - Technologie Epoxy | L\'Europe ? (epotekeurope.com);Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers (4669B);FR10805000445;/;1;1;yes;no
GILLET DECOLLETAGE;+33 (0)3 81 50 34 10;S092;/;/;/;41916844800027;Gillet Décolletage mécanique de précision à Dannemarie sur Crète (site-solocal.com);Décolletage (2562A);/;/;1;1;yes;no
BENE INOX;+33 (0)4 72 79 05 14;S093;/;ISO 9001:2015 Exp 2024-04-03;/;31181028700012;bene-inox.com;Commerce de gros (commerce interentreprises) de quincaillerie (4674A);FR24311810287;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\BENE INOX-S093;1;1;yes;no
S.A.R.L. CURTY METROLOGIE;+33 (0)3 81 57 68 63;S094;/;/;/;45097606300021;https://curty-metrologie-26.webself.net/;Analyses, essais et inspections techniques (7120B);/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\CURTY METROLOGIE -S094;1;1;yes;no
OLIVER HCP;+33 (0)3 88 51 78 54 ;S095;/;ISO 13485:2016 Exp: 2020-05-15;/;/;https://www.oliverhcp.com;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\OLIVER Healthcare Packaging -S095;1;1;yes;no
DIFRA;+33 (0)3 81 58 16 16;S096;/;/;/;42147714200028;http://difra.com/;Mécanique industrielle (2562B);FR63421477142;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\DIFRA -S096;1;1;yes;no
REBOUL;+33 (0)9 51 32 66 71;S097;/;/;/;31865005800056;https://www.reboul.fr;Commerce de gros (commerce interentreprises) de composants et d\'équipements électroniques et de télécommunication (4652Z);FR54318650058;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\REBOUL -S097;1;1;yes;no
FRIENDSHIP MEDICAL;86-139-9189-505;S098;/;ISO 13485 : 2016 Exp: 2022-11-17;/;/;/;/;/;\\ALPHA-SERVEUR\RP-PUR_Purchasing\Suppliers\FRIENDSHIP -S098;1;1;yes;no
